,database_code,domain_name,database_group,language_code,language_name,status,visibility,editability,english_name,git_created_dt_x,git_closed_dt_x,git_created_dt_y,git_closed_dt_y,git_created_dt,git_closed_dt
162,dawiki,da.wikipedia.org,wikipedia,da,Danish,open,public,public,Danish Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
163,dawikibooks,da.wikibooks.org,wikibooks,da,Danish,open,public,public,Danish Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
164,dawikiquote,da.wikiquote.org,wikiquote,da,Danish,open,public,public,Danish Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
165,dawikisource,da.wikisource.org,wikisource,da,Danish,open,public,public,Danish Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
166,dawiktionary,da.wiktionary.org,wiktionary,da,Danish,open,public,public,Danish Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
167,dewiki,de.wikipedia.org,wikipedia,de,German,open,public,public,German Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
168,dewikibooks,de.wikibooks.org,wikibooks,de,German,open,public,public,German Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
169,dewikinews,de.wikinews.org,wikinews,de,German,open,public,public,German Wikinews,2012-02-24,,2012-02-24,,2012-02-24,
170,dewikiquote,de.wikiquote.org,wikiquote,de,German,open,public,public,German Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
171,dewikisource,de.wikisource.org,wikisource,de,German,open,public,public,German Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
172,dewikiversity,de.wikiversity.org,wikiversity,de,German,open,public,public,German Wikiversity,2012-02-24,,2012-02-24,,2012-02-24,
173,dewikivoyage,de.wikivoyage.org,wikivoyage,de,German,open,public,public,German Wikivoyage,2012-11-06,,2012-11-06,,2012-11-06,
174,dewiktionary,de.wiktionary.org,wiktionary,de,German,open,public,public,German Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
175,dinwiki,din.wikipedia.org,wikipedia,din,Dinka,open,public,public,Dinka Wikipedia,2017-06-29,,2017-06-29,,2017-06-29,
176,diqwiki,diq.wikipedia.org,wikipedia,diq,Zazaki,open,public,public,Zazaki Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
177,diqwiktionary,diq.wiktionary.org,wiktionary,diq,Zazaki,open,public,public,Zazaki Wiktionary,2021-01-11,,2021-01-11,,2021-01-11,
178,dsbwiki,dsb.wikipedia.org,wikipedia,dsb,Lower Sorbian,open,public,public,Lower Sorbian Wikipedia,2012-05-08,,2012-05-08,,2012-05-08,
179,dtywiki,dty.wikipedia.org,wikipedia,dty,Doteli,open,public,public,Doteli Wikipedia,2017-04-09,,2017-04-09,,2017-04-09,
180,dvwiki,dv.wikipedia.org,wikipedia,dv,Divehi,open,public,public,Divehi Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
181,dvwiktionary,dv.wiktionary.org,wiktionary,dv,Divehi,open,public,public,Divehi Wiktionary,2012-02-24,,2012-02-24,,2012-02-24,
182,dzwiki,dz.wikipedia.org,wikipedia,dz,Dzongkha,open,public,public,Dzongkha Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
183,dzwiktionary,dz.wiktionary.org,wiktionary,dz,Dzongkha,closed,public,public,Dzongkha Wiktionary,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24,2012-02-24
184,eewiki,ee.wikipedia.org,wikipedia,ee,Ewe,open,public,public,Ewe Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
185,elwiki,el.wikipedia.org,wikipedia,el,Greek,open,public,public,Greek Wikipedia,2012-02-24,,2012-02-24,,2012-02-24,
186,elwikibooks,el.wikibooks.org,wikibooks,el,Greek,open,public,public,Greek Wikibooks,2012-02-24,,2012-02-24,,2012-02-24,
187,elwikinews,el.wikinews.org,wikinews,el,Greek,open,public,public,Greek Wikinews,2012-05-08,,2012-05-08,,2012-05-08,
188,elwikiquote,el.wikiquote.org,wikiquote,el,Greek,open,public,public,Greek Wikiquote,2012-02-24,,2012-02-24,,2012-02-24,
189,elwikisource,el.wikisource.org,wikisource,el,Greek,open,public,public,Greek Wikisource,2012-02-24,,2012-02-24,,2012-02-24,
190,elwikiversity,el.wikiversity.org,wikiversity,el,Greek,open,public,public,Greek Wikiversity,2012-05-08,,2012-05-08,,2012-05-08,
